time-point	#client-msg	#server-msg	client-bytes	server-bytes	avg-client-bytes	avg-server-bytes
2018-02-08 17:27:12	31	11	1535	1563	49.52	142.09	0143	87	storm	alive
2018-02-08 17:27:13	35	11	1683	1851	48.09	168.27	0144	87	storm	alive
2018-02-08 17:27:14	32	13	1712	1581	53.50	121.62	0145	87	storm	alive
2018-02-08 17:27:15	40	14	1864	2606	46.60	186.14	0146	86	storm	alive
2018-02-08 17:27:16	34	10	1634	2074	48.06	207.40	0147	86	storm	alive
2018-02-08 17:27:17	35	12	1651	2044	47.17	170.33	0148	85	storm	alive
2018-02-08 17:27:18	39	15	1719	3935	44.08	262.33	0149	85	storm	alive
2018-02-08 17:27:19	33	11	1505	2011	45.61	182.82	0150	85	storm	alive
2018-02-08 17:27:20	33	12	1585	2012	48.03	167.67	0151	85	storm	alive
2018-02-08 17:27:21	41	13	1673	3581	40.80	275.46	0152	84	storm	alive
2018-02-08 17:27:22	33	11	1649	1771	49.97	161.00	0153	83	storm	alive
2018-02-08 17:27:23	34	12	1858	1468	54.65	122.33	0154	83	storm	alive
2018-02-08 17:27:24	36	11	1636	1835	45.44	166.82	0155	83	storm	alive
2018-02-08 17:27:25	37	13	1701	2125	45.97	163.46	0156	82	storm	alive
2018-02-08 17:27:26	35	12	1507	1932	43.06	161.00	0157	82	storm	alive
2018-02-08 17:27:27	36	10	1844	2378	51.22	237.80	0158	81	storm	alive
2018-02-08 17:27:28	38	13	1718	2621	45.21	201.62	0159	81	storm	alive
2018-02-08 17:27:29	37	12	1669	2300	45.11	191.67	0160	81	storm	alive
2018-02-08 17:27:30	37	14	1829	2318	49.43	165.57	0161	81	storm	alive
2018-02-08 17:27:31	33	12	1681	1836	50.94	153.00	0162	80	storm	alive
2018-02-08 17:27:32	34	12	1506	1804	44.29	150.33	0163	79	storm	alive
2018-02-08 17:27:33	38	13	1558	1837	41.00	141.31	0164	79	storm	alive
2018-02-08 17:27:34	36	12	1524	1548	42.33	129.00	0165	79	storm	alive
2018-02-08 17:27:35	34	12	1618	1756	47.59	146.33	0166	79	storm	alive
2018-02-08 17:27:36	40	13	1784	1901	44.60	146.23	0167	78	storm	alive
2018-02-08 17:27:37	36	13	1524	1389	42.33	106.85	0168	78	storm	alive
2018-02-08 17:27:38	34	12	1506	1324	44.29	110.33	0169	78	storm	alive
2018-02-08 17:27:39	37	12	1605	1628	43.38	135.67	0170	77	storm	alive
2018-02-08 17:27:40	35	13	1571	2317	44.89	178.23	0171	76	storm	alive
2018-02-08 17:27:41	36	12	1412	1836	39.22	153.00	0172	76	storm	alive
2018-02-08 17:27:42	37	15	1461	2335	39.49	155.67	0173	76	storm	alive
2018-02-08 17:27:43	35	13	1443	1965	41.23	151.15	0174	76	storm	alive
2018-02-08 17:27:44	32	13	1312	1501	41.00	115.46	0175	75	storm	alive
2018-02-08 17:27:45	37	13	1637	2157	44.24	165.92	0176	75	storm	alive
2018-02-08 17:27:46	35	13	1363	2797	38.94	215.15	0177	74	storm	alive
2018-02-08 17:27:47	33	13	1281	1869	38.82	143.77	0178	73	storm	alive
2018-02-08 17:27:48	35	13	1347	1693	38.49	130.23	0179	73	storm	alive
2018-02-08 17:27:49	38	13	1494	1741	39.32	133.92	0180	73	storm	alive
2018-02-08 17:27:50	37	13	1653	1677	44.68	129.00	0181	73	storm	alive
2018-02-08 17:27:51	36	13	1476	1581	41.00	121.62	0182	73	storm	alive
2018-02-08 17:27:52	35	14	1459	1774	41.69	126.71	0183	73	storm	alive
2018-02-08 17:27:53	37	13	1493	1229	40.35	94.54	0184	73	storm	alive
2018-02-08 17:27:54	34	14	1570	1838	46.18	131.29	0185	73	storm	alive
2018-02-08 17:27:55	37	13	1829	2077	49.43	159.77	0186	73	storm	alive
2018-02-08 17:27:56	38	13	1766	1037	46.47	79.77	0187	72	storm	alive
2018-02-08 17:27:57	38	13	1766	1133	46.47	87.15	0188	71	storm	alive
2018-02-08 17:27:58	36	14	1396	1166	38.78	83.29	0189	70	storm	alive
2018-02-08 17:27:59	39	13	1863	1117	47.77	85.92	0190	70	storm	alive
2018-02-08 17:28:00	41	15	1561	1167	38.07	77.80	0191	70	storm	alive
2018-02-08 17:28:01	35	13	1571	1037	44.89	79.77	0192	70	storm	alive
2018-02-08 17:28:02	36	14	1572	814	43.67	58.14	0193	70	storm	alive
2018-02-08 17:28:03	38	13	1526	781	40.16	60.08	0194	70	storm	alive
2018-02-08 17:28:04	33	14	1809	862	54.82	61.57	0195	70	storm	alive
2018-02-08 17:28:05	31	13	1503	893	48.48	68.69	0196	70	storm	alive
2018-02-08 17:28:06	30	13	1534	733	51.13	56.38	0197	67	storm	alive
2018-02-08 17:28:07	29	14	1389	798	47.90	57.00	0198	67	storm	alive
2018-02-08 17:28:08	30	14	1470	894	49.00	63.86	0199	67	storm	alive
2018-02-08 17:28:09	32	14	1408	942	44.00	67.29	0200	67	storm	alive
2018-02-08 17:28:10	33	14	1521	1246	46.09	89.00	0201	67	storm	alive
2018-02-08 17:28:11	31	15	1423	1615	45.90	107.67	0202	65	storm	alive
2018-02-08 17:28:12	29	14	1309	1294	45.14	92.43	0203	65	storm	alive
2018-02-08 17:28:13	31	15	1503	1583	48.48	105.53	0204	65	storm	alive
2018-02-08 17:28:14	34	15	1538	2335	45.24	155.67	0205	65	storm	alive
2018-02-08 17:28:15	33	15	1521	1823	46.09	121.53	0206	64	storm	alive
2018-02-08 17:28:16	33	16	1425	2192	43.18	137.00	0207	64	storm	alive
2018-02-08 17:28:17	34	15	1570	2399	46.18	159.93	0208	64	storm	alive
2018-02-08 17:28:18	33	15	1489	1759	45.12	117.27	0209	64	storm	alive
2018-02-08 17:28:19	33	15	1441	1967	43.67	131.13	0210	64	storm	alive
2018-02-08 17:28:20	32	15	1568	1711	49.00	114.07	0211	64	storm	alive
2018-02-08 17:28:21	33	15	1489	1647	45.12	109.80	0212	63	storm	alive
2018-02-08 17:28:22	34	16	1522	1904	44.76	119.00	0213	63	storm	alive
2018-02-08 17:28:23	35	16	1523	1776	43.51	111.00	0214	62	storm	alive
2018-02-08 17:28:24	33	15	1505	1359	45.61	90.60	0215	62	storm	alive
2018-02-08 17:28:25	41	17	1577	1281	38.46	75.35	0216	62	storm	alive
2018-02-08 17:28:26	45	17	1709	1137	37.98	66.88	0217	62	storm	alive
2018-02-08 17:28:27	38	15	1542	943	40.58	62.87	0218	61	storm	alive
2018-02-08 17:28:28	38	16	1574	944	41.42	59.00	0219	61	storm	alive
2018-02-08 17:28:29	42	17	1690	1585	40.24	93.24	0220	61	storm	alive
2018-02-08 17:28:30	42	15	1786	2095	42.52	139.67	0221	61	storm	alive
2018-02-08 17:28:31	37	17	1637	1377	44.24	81.00	0222	60	storm	alive
2018-02-08 17:28:32	41	16	1705	1200	41.59	75.00	0223	60	storm	alive
2018-02-08 17:28:33	40	17	1592	1409	39.80	82.88	0224	59	storm	alive
2018-02-08 17:28:34	38	16	1590	1456	41.84	91.00	0225	59	storm	alive
2018-02-08 17:28:35	38	16	1478	1120	38.89	70.00	0226	59	storm	alive
2018-02-08 17:28:36	38	15	1478	799	38.89	53.27	0227	59	storm	alive
